No;Kalimat;Kata;Sentimen;;;
19;Alasan gerakan terbentuk karena berbagai macam alasan, salah satunya kelompok etnis tertentu di Sulawesi dan Sumatera Tengah merasa bahwa kebijakan pemerintahan hanya mendominasi Jakarta dan membatasi pengembangan daerah lainnya.;Permesta;Negatif;;;
20;Selain itu, terdapat rasa kebencian terhadap kelompok suku Jawa, yang merupakan suku dengan jumlah terbanyak dan berpengaruh dalam negara kesatuan Indonesia yang baru saja terbentuk.;kesatuan Indonesia;Negatif;;;
21;"Negara Islam Indonesia (disingkat NII; juga dikenal dengan nama Darul Islam atau DI) yang artinya adalah Rumah Islam adalah kelompok Islam di Indonesia yang bertujuan untuk pembentukan negara Islam di Indonesia.";NII;Negatif;;;
22;Kelompok ini mengakui syariat islam sebagai sumber hukum yang valid. Gerakan ini telah menghasilkan pecahan maupun cabang yang terbentang dari Jemaah Islamiyah ke kelompok agama non-kekerasan;Syariat Islam;Negatif;;;
23;Gerakan ini bertujuan menjadikan Republik Indonesia yang saat itu baru saja diproklamasikan kemerdekaannya dan ada pada masa perang dengan tentara Kerajaan Belanda sebagai negara teokrasi dengan agama Islam sebagai dasar negara.;Negara Teokrasi;Negatif;;;
24;Dalam proklamasinya bahwa 'Hukum yang berlaku dalam Negara Islam Indonesia adalah Hukum Islam', lebih jelas lagi dalam undang-undangnya dinyatakan bahwa 'Negara berdasarkan Islam' dan 'Hukum yang tertinggi adalah Al Quran dan Sunnah'.;Hukum Islam;Negatif;;;
25;Proklamasi Negara Islam Indonesia dengan tegas menyatakan kewajiban negara untuk membuat undang-undang yang berlandaskan syariat Islam, dan penolakan yang keras terhadapÊideologiÊselain Alqur'an dan Hadits Shahih, yang mereka sebut dengan 'hukum kafir'.;Negara Islam Indonesia;Negatif;;;
26;Dalam konteks Konfrontasi dengan Malaysia,ÊPKIÊmenyerukan untuk 'mempersenjatai rakyat'.;PKI;Negatif;;;
27;Pada bulan Juli sekitar 2000 anggotaÊPKIÊmulai menggelar pelatihan militer di dekat pangkalan udara Halim. Terutama dalam konsep 'mempersenjatai rakyat' yang telah memenangkan banyak dukungan di antara kalangan militer Angkatan Udara dan Angkatan Laut.;mempersenjatai rakyat;Negatif;;;
28;Kalau saya melihatnya sungguh nyata karena mereka yang ingin menggantikan Pancasila ini. Mereka tidak hanya lewat jalan-jalan teror, tetapi juga mereka masuk melewati jalur-jalur pendidikan.;Teror;Negatif;;;
29;Jika Pancasila itu dihayati dan dilakukan dalam keseharian kita sebagai pribadi dan juga ke dalam hidup berbangsa dan bernegara, rasanya ideologi lain yang akan berusaha masuk ke negara Indonesia, juga mengalami kesulitan atau hambatan;Pancasila;Positif;;;
30;Pancasila itu adalah yang menjadi tolok ukur jika ada masalah-masalah perbedaan yang mencuat. Kita harus segera berani menyatakan ketika ada masalah perbedaan itu mencuat, kita harus berani menyatakan untuk mari kita kembali ke Pancasila;Pancasila;Positif;;;
31;Mengganti atau mengubah Pancasila dengan paham lain sama artinya dengan meniadakan landasan eksistensial berdirinya NKRI yang diproklamasikan tanggal 17 Agustus 1945. ;NKRI;Positif;;;
32;Indonesia sebagai negara hukum, semua warga negara harus taat dan tunduk pada aturan yang ada, termasuk tidak mengubah pembukaan UUD 1945, menjaga NKRI, dan menjaga Bhinneka Tunggal Ika.;Bhinneka Tunggal Ika;Positif;;;
33;Misalnya, kelompok Gafatar yang lakukan rekrutmen tertutup tidak kita ketahui, lalu mereka sudah dalam tahap hijrah dan ingin melawan pemerintahan sah serta ingin mengubah Pancasila.;Gafatar;Negatif;;;
34;HTI bertujuan untuk mengubah ideologi negara menjadi Khilafah. ;HTI;Negatif;;;
35;video acara Hizbut Tahrir Indonesia di Stadion Sepak Bola yang dihadiri ribuan kader ormas tersebut.;Hizbut Tahrir Indonesia;Negatif;;;
36;Kehadiran HTI tidak bisa dilepaskan begitu saja dari Hizbut Tahrir di Palestina yang didirikan oleh Taqiyuddin an-Nabhani pada 1953. Kehadirannya sebagai gerakan politik memang mengusung panji penegakan sistem khilafah al-Islamiyah.;khilafah;Negatif;;;
37;Secara garis besar, tujuan Hizbut Tahrir adalah menghidupkan konsep politik yang diklaim merupakan kewajiban dalam kitab suci, sunah, dan telah diwujudkan dalam sejarah kekuasaan Islam sejak era Nabi Muhammad sampai kejatuhan imperium Utsmani (Abad ke-18 Masehi).;Hizbut Tahrir  ;Negatif;;;
38;Ide Daulah Islamiyah (Negara Islam) di Indonesia memang sempat muncul saat Kartosuwiryo melakukan pemberontakan DI/TII di masa pasca-kemerdekaan.;DI TII;Negatif;;;
39;Sedangkan Hizbut Tahrir secara umum mengupayakan adanya kesatuan tunggal bagi seluruh umat Islam di dunia. Cita-cita yang menerabas batas-batas geografis, kebudayaan, dan politik bangsa-bangsa.;hizbut tahrir;Negatif;;;
40;Konstitusi Hizbut Tahrir secara sederhana menggunakan kata ÒKhilafahÓ dan ÒNegaraÓ secara bergantian. Bangsa dalam konsep Ònegara-bangsaÓ bagi gerakan ini adalah ÒIslamÓ yang wilayahnya dinamakan sebagai dar al-Islam (wilayah Islam) sedangkan di luar itu dinamakan dar al-kufr (wilayah kafir). Di dalam dar al-Islam diterapkan hukum Islam, dan di luarnya masuk kategori hukum orang kafir.;khilafah;Negatif;;;
41;Di antaranya dengan mengimplementasikan syariah (hukum Islam) dan mendirikan Khilafah;khilafah;Negatif;;;
42;Hizbut Tahrir dinamai sebagai organisasi revivalis karena ingin menjadikan Islam sebagai referensi dalam ruang publik secara kaaffah atau menyeluruh.;Kaaffah;Negatif;;;
43;Kalau sistem pemerintahannya otoriter, maka HT akan beroperasi secara diam-diam;HTI;Negatif;;;
44;di Indonesia HT masuk melalu kampus dan nonkampus dalam hal ini masuk lewat masyarakat. Bisa melalui pengajian kelompok kecil bisa juga terbuka di mesjid.;HTI;Negatif;;;
45;HT tidak bisa berdampingan dengan ideologi yang dimiliki sebuah negara termasukÊNKRIÊdengan ideologi Pancasila.;HTI;Negatif;;;
46;FPI menggunakan kekerasan tapi enggak pernahÊdibubarin. HTI tidak menggunakan kekerasan tapi dibubarkan pemerintah. Mengapa? Argumentasi saya sebagai peneliti, kemungkinan besar karena FPI masih banyak dibutuhkan para pemangku kepentingan di tanah air;FPI;Negatif;;;
47;HTI telah dibubarkan oleh Pemerintahan Presiden Joko Widodo karena dianggap anti-Pancasila.;dibubarkan;Positif;;;
48;Tapi faktanya, para anggota HTI atau simpatisan masih terus melakukan gerakan di bawah tanah untuk melakukan perekrutan.;HTI;Negatif;;;
49;Adanya aturan itu sudah bagus tentang pelarangan penyebaran HTI, baik kelompok maupun individu. Jadi kalau ada yang melakukan itu, kepolisian harus menangkap;HTI;Positif;;;
50;Kepala Badan Nasional Penanggulangan Terorisme (BNPT) KomjenÊSuhardi AliusÊmengingatkan pentingnya merawat NKRI dari berbagai gangguan kelompok teror. Dia juga memaparkan bagaimana mengidentifikasi masuknya paham-paham radikal.;NKRI;Positif;;;
51;Penyebaran ideologi khilafah yang bertentangan dengan Pancasila ditengarai masih kuat dilakukan oleh eks HTI.;khilafah;Negatif;;;
52;Lambang-lambang yang menyerupai HTI dan seruan untuk menegakkan khilafah muncul dalam berbagai momentum di Indonesia termasuk diantaranya pada Pemilu 2019, dan berbagai unjuk rasa lainnya terutama yang dilakukan oleh kelompok yang menentang pemerintah.;khilafah;Negatif;;;
53;Eks HTI memanfaatkan momen-momen besar yang terjadi di Indonesia terutama ketika terjadi masalah besar yang menimpa Pemerintah secara langsung maupun tak langsung.Ê;HTI;Negatif;;;
54;Kelompok tersebut menunjukkan eksistensinya bersama dengan kelompok yang menentang pemerintah termasuk oposisi dengan menawarkan ideologi khilafah sebagai jalan keluar semua masalah yang terjadi di Indonesia.;khilafah;Negatif;;;
55;Cara-cara dengan menumpang acara politik atau momentum lainnya ini dilakukan dengan menggunakan kedok sebagai aksi panggilan agama, sehingga pihak-pihak yang melakukan perlawanan terhadap aksi eks HTI akan langsung diberi stigma melawan agama.;Melawan Agama;Negatif;;;
56;Gerakan eks HTI juga berkamuflase menggunakan kedok organisasi Islam yang menargetkan kalangan terpelajar.;HTI;Negatif;;;
57;Dalam praktiknya, eks HTI ini selalu mendoktrin kalangan pelajar dan mahasiswa agar mempercayai konsep khilafah sebagai solusi tunggal atas semua masalah yang ada.;HTI;Negatif;;;
58;Jika kaderisasi ini terus dibiarkan, maka akan menjadi ancaman besar bagi keutuhan Indonesia yang tengah menghadapi bonus demografi.;kaderisasi;Negatif;;;
59;Menyebarnya anggota HTI ke berbagai ormas Islam diamini anggota HTI Temanggung, Jawa Tengah, Mustaqim.;HTI;Negatif;;;
60;Itu disebabkan karena HTI berdakwah dengan pemikiran. HTI tidak menggunakan senjata dan kekerasan dalam menegakkan kembali daulah khilafah. HTI menjalin silaturahmi kepada siapa pun;khilafah;Negatif;;;
61;Hukum di negeri ini adalah produk politik. Bisa diubah dan diganti. HTI akan terus eksis selama menyerukan penerapan syariat Islam dalam seluruh aspek kehidupan;Syariat Islam;Negatif;;;
62;Menurut dia, forum-forum dunia maya ternyata efektif. Setelah dilarang, Mustaqin mengklaim pengikut dan simpatisan HTI justru terus bertambah karena kinerja dakwah di medsos.Ê;HTI;Negatif;;;
63;Coba saja masuk ke masjid-masjid. Bila di situ ada yang menyerukan penerapan syariat Islam, maka kemungkinan jemaah kami;Syariat Islam;Negatif;;;
64;Kami di lingkungan itu harus menjadi tokoh atau pentolan atau rujukan masyarakat. Tujuannya, agar wacana soal khilafah itu hidup, baik di kampus maupun ditengah-tengah masyarakat;khilafah;Negatif;;;
65;Nama buletin Al-Islam berubah jadi Kaffah. Kini mereka juga lebih aktif menyebarkan paham khilafah di media sosial,;Kaffah;Negatif;;;
66;Sistem Dasar Negara Pancasila harus diganti dengan khilafah. ;khilafah;Negatif;;;
67;Komunisme adalah jalan satu-satunya.;Komunisme;Negatif;;;
68;Percaya kepada Pancasila adalah syirik.;Syirik;Negatif;;;
69;Haram untuk hormat kepada bendera. ;Haram;Negatif;;;
70;Darahnya halal untuk dibunuh. ;Dibunuh;Negatif;;;
71;Saatnya bergerak untuk mendirikan negara Komunis.;Komunis ;Negatif;;;
72;Wajib berjihad melawan negara kafir.;kafir;Negatif;;;
73;Jihad melawan thagut.;Thagut;Negatif;;;
74;Polisi itu thogut. ;Thogut;Negatif;;;
75;Kufur kepada thagut adalah syarat sahnya ibadah. ;Kufur;Negatif;;;
76;Pemerintah yang tidak menjalankan syariat Islam adalah Thaghut.;Thaghut;Negatif;;;
77;Kufur kepada thaghut merupakan syarat sah iman, sehingga tidak sah iman seseorang hingga mengingkari thaghut.;Kufur;Negatif;;;
78;Orang yang berhukum selain hukum Allah adalah Thagut. ;Thagut;Negatif;;;
79;Pancasila sudah tidak sesuai dengan perkembangan zaman. ;Pancasila;Negatif;;;
80;Khilafah harus tegak berdiri. ;khilafah;Negatif;;;
81;Ganti dengan sistem khilafah. ;khilafah;Negatif;;;
82;Tidak boleh percaya dengan orang kafir.;kafir;Negatif;;;
83;jika ada seorang muslim yang tinggal di negara yang menerapkan hukum selain Allah maka ia telah kafir.;kafir;Negatif;;;
84;masyarakat yang tidak menerapkan hukum Islam adalah masyarakatÊjahiliyah;jahiliyah;Negatif;;;
85;Rezim pemerintahan zalim.;zalim;Negatif;;;
86;Hormat kepada bendera sama dengan menyembah berhala.;berhala;Negatif;;;
87;Haram untuk ikut upacara bendera.;haram;Negatif;;;
88;Paham Marxisme akan mengalahkan paham kapitalisme jika Komunisme berdiri.;Marxisme;Negatif;;;
89;Paham Leninisme mewujudkan masyarakat komunis yang utuh di Rusia.;Leninisme;Negatif;;;
90;OPM akan memerdekakan Papua Barat.;OPM;Negatif;;;
91;OPM menggunakan jalan radikal dengan perang gerilya bersenjata di hutan-hutan Papua.;OPM;Negatif;;;
92;Aksi-aksi anarkisme harus dilakukan untuk mengacaukan stabilitas politik. ;anarkisme;Negatif;;;
93;Republik Maluku Selatan (RMS) tetap melakukan aksi pengibaran bendera di Maluku.;RMS;Negatif;;;
;;;;;;
;;;;;;

